id,user_id,message,created_at,read
1,1,Notification message 1,1668124800,True
2,1,Notification message 2,1699228800,True
3,1,Notification message 3,1682636400,True
4,1,Notification message 4,1694300400,False
5,1,Notification message 5,1641168000,False
6,1,Notification message 6,1670371200,False
7,1,Notification message 7,1687561200,True
8,1,Notification message 8,1645574400,True
9,1,Notification message 9,1667952000,True
10,1,Notification message 10,1669420800,False
11,1,Notification message 11,1697583600,False
12,1,Notification message 12,1684623600,False
13,1,Notification message 13,1662505200,False
14,1,Notification message 14,1693868400,False
15,1,Notification message 15,1716159600,False
16,1,Notification message 16,1670025600,False
17,1,Notification message 17,1728169200,False
18,1,Notification message 18,1719529200,False
19,1,Notification message 19,1719615600,True
20,1,Notification message 20,1642809600,False
21,1,Notification message 21,1711843200,True
22,1,Notification message 22,1692140400,True
23,1,Notification message 23,1699574400,True
24,1,Notification message 24,1643846400,True
25,1,Notification message 25,1724626800,True
26,1,Notification message 26,1688425200,False
27,1,Notification message 27,1660345200,False
28,1,Notification message 28,1650582000,False
29,1,Notification message 29,1647820800,False
30,1,Notification message 30,1674604800,False
31,1,Notification message 31,1677196800,False
32,1,Notification message 32,1720047600,False
33,1,Notification message 33,1694214000,False
34,1,Notification message 34,1707523200,True
35,1,Notification message 35,1712703600,False
36,1,Notification message 36,1646611200,False
37,1,Notification message 37,1685746800,True
38,1,Notification message 38,1687474800,False
39,1,Notification message 39,1699833600,False
40,1,Notification message 40,1650322800,False
41,1,Notification message 41,1714863600,False
42,1,Notification message 42,1653001200,False
43,1,Notification message 43,1683500400,False
44,1,Notification message 44,1673913600,False
45,1,Notification message 45,1697929200,True
46,1,Notification message 46,1647648000,True
47,1,Notification message 47,1694300400,False
48,1,Notification message 48,1669420800,True
49,1,Notification message 49,1643673600,True
50,1,Notification message 50,1687388400,True
