id,user_id,name,amount,progress,target_date,favorite
2,1,Savings Goal 2,1249.69,182.12,1661209200,False
3,1,Savings Goal 3,1744.65,617.66,1689634800,False
4,1,Savings Goal 4,2466.62,934.89,1669075200,False
5,1,Savings Goal 5,3436.45,737.58,1687215600,False
6,1,Savings Goal 6,1947.86,202.0,1672272000,False
7,1,Savings Goal 7,2480.04,424.48,1690066800,False
8,1,Savings Goal 8,1124.97,116.83,1679270400,False
9,1,Savings Goal 9,3689.94,948.37,1658962800,False
10,1,Savings Goal 10,2861.96,638.4,1669507200,False
11,1,Savings Goal 11,3764.66,157.0,1641945600,False
