id,user_id,category_id,amount,date,description,type
5,1,30,412.09,1661727600,Transaction description5,Expense
6,1,3,107.53,1717974000,Transaction description6,Expense
7,1,10,450.46,1646179200,Transaction description7,Income
8,1,30,139.96,1673654400,Transaction description8,Expense
9,1,2,182.69,1701561600,Transaction description9,Expense
10,1,7,290.0,1712962800,Transaction description10,Income
11,1,21,264.2,1663628400,Transaction description11,Expense
12,1,17,171.34,1647043200,Transaction description12,Income
13,1,12,253.55,1714518000,Transaction description13,Income
14,1,25,256.12,1666393200,Transaction description14,Expense
15,1,20,266.94,1717887600,Transaction description15,Income
16,1,26,98.17,1700870400,Transaction description16,Expense
17,1,23,64.6,1656198000,Transaction description17,Income
18,1,10,346.39,1682463600,Transaction description18,Income
19,1,2,426.3,1644883200,Transaction description19,Expense
20,1,5,222.46,1666998000,Transaction description20,Income
21,1,24,233.55,1682895600,Transaction description21,Income
22,1,23,22.3,1654902000,Transaction description22,Income
23,1,4,215.4,1719788400,Transaction description23,Income
24,1,23,173.81,1671148800,Transaction description24,Expense
25,1,18,209.84,1681081200,Transaction description25,Income
26,1,12,156.44,1691535600,Transaction description26,Income
27,1,12,279.27,1711324800,Transaction description27,Expense
28,1,19,143.44,1726700400,Transaction description28,Income
29,1,8,221.75,1680303600,Transaction description29,Income
30,1,4,313.89,1647993600,Transaction description30,Expense
31,1,5,357.94,1689030000,Transaction description31,Income
32,1,13,430.43,1666825200,Transaction description32,Expense
33,1,17,239.04,1718406000,Transaction description33,Income
34,1,29,43.08,1677801600,Transaction description34,Income
35,1,32,172.7,1686783600,Transaction description35,Expense
36,1,12,473.21,1666825200,Transaction description36,Income
37,1,4,42.25,1703635200,Transaction description37,Income
38,1,28,262.8,1641513600,Transaction description38,Expense
39,1,11,81.08,1654729200,Transaction description39,Income
40,1,13,394.83,1679356800,Transaction description40,Income
41,1,31,75.7,1644278400,Transaction description41,Income
42,1,14,262.91,1721948400,Transaction description42,Income
43,1,5,240.35,1709078400,Transaction description43,Expense
44,1,11,231.27,1716937200,Transaction description44,Income
45,1,29,76.6,1673827200,Transaction description45,Income
46,1,7,342.95,1714258800,Transaction description46,Income
47,1,7,59.59,1691362800,Transaction description47,Income
48,1,29,233.35,1648252800,Transaction description48,Expense
49,1,19,143.47,1720306800,Transaction description49,Expense
50,1,16,52.68,1666393200,Transaction description50,Expense
51,1,25,394.66,1680044400,Transaction description51,Income
52,1,30,407.35,1656802800,Transaction description52,Expense
53,1,27,238.18,1675382400,Transaction description53,Income
54,1,2,122.77,1718924400,Transaction description54,Income
55,1,11,86.71,1675900800,Transaction description55,Income
56,1,26,467.17,1674777600,Transaction description56,Income
57,1,19,340.31,1669593600,Transaction description57,Expense
58,1,13,181.75,1680044400,Transaction description58,Income
59,1,19,155.19,1641945600,Transaction description59,Income
60,1,26,405.84,1711843200,Transaction description60,Income
61,1,6,195.86,1641081600,Transaction description61,Income
62,1,26,228.48,1712790000,Transaction description62,Expense
63,1,6,326.89,1710547200,Transaction description63,Income
64,1,17,499.76,1669766400,Transaction description64,Expense
65,1,30,64.31,1657234800,Transaction description65,Expense
66,1,3,489.04,1716505200,Transaction description66,Income
67,1,27,61.42,1666134000,Transaction description67,Income
68,1,15,443.87,1712617200,Transaction description68,Expense
69,1,15,35.75,1640995200,Transaction description69,Income
70,1,22,123.62,1702425600,Transaction description70,Expense
71,1,31,383.24,1716505200,Transaction description71,Expense
72,1,8,347.08,1665010800,Transaction description72,Income
73,1,3,108.87,1656802800,Transaction description73,Income
74,1,14,485.29,1641859200,Transaction description74,Income
75,1,6,182.38,1666047600,Transaction description75,Income
76,1,30,408.54,1646524800,Transaction description76,Income
77,1,27,38.6,1707782400,Transaction description77,Income
78,1,24,129.04,1661641200,Transaction description78,Expense
79,1,2,101.65,1669593600,Transaction description79,Income
80,1,23,81.94,1708473600,Transaction description80,Income
81,1,26,479.88,1679702400,Transaction description81,Expense
82,1,4,194.83,1718492400,Transaction description82,Income
83,1,32,157.55,1673049600,Transaction description83,Expense
84,1,19,236.32,1688857200,Transaction description84,Income
85,1,6,224.58,1652914800,Transaction description85,Income
86,1,31,294.88,1694386800,Transaction description86,Income
87,1,23,369.97,1709596800,Transaction description87,Income
88,1,28,89.42,1727132400,Transaction description88,Income
89,1,2,172.75,1724799600,Transaction description89,Income
90,1,22,422.67,1708646400,Transaction description90,Expense
91,1,20,129.44,1674345600,Transaction description91,Expense
92,1,4,336.79,1698796800,Transaction description92,Income
93,1,2,484.19,1721775600,Transaction description93,Expense
94,1,29,340.6,1673049600,Transaction description94,Expense
95,1,31,131.06,1692745200,Transaction description95,Expense
96,1,8,281.35,1665010800,Transaction description96,Income
97,1,4,266.5,1722034800,Transaction description97,Income
98,1,7,184.81,1713222000,Transaction description98,Income
99,1,21,334.47,1704758400,Transaction description99,Income
100,1,32,328.51,1641254400,Transaction description100,Expense
101,1,27,244.8,1727650800,Transaction description101,Expense
102,1,1,303.78,1715554800,Transaction description102,Income
103,1,32,256.08,1645401600,Transaction description103,Expense
