id,user_id,investment_type,amount_invested,current_value,created_at
1,1,Mutual Funds,8674.52,16739.41,1725231600
2,1,Stocks,8216.6,9329.03,1660258800
3,1,ETFs,9631.86,7501.73,1660258800
4,1,Mutual Funds,5218.49,5220.5,1677024000
5,1,Stocks,8599.18,16363.65,1704585600
6,1,Stocks,3580.98,18700.83,1714863600
7,1,ETFs,3727.74,10083.54,1658530800
8,1,Mutual Funds,1418.88,8035.38,1645574400
9,1,Mutual Funds,9105.15,10196.32,1720047600
10,1,ETFs,1380.39,8332.57,1683327600
11,1,Mutual Funds,1874.82,6313.81,1648681200
12,1,Mutual Funds,3530.48,19555.35,1708128000
13,1,ETFs,5991.24,7424.77,1696287600
14,1,Stocks,2049.3,15697.97,1654556400
15,1,Mutual Funds,9624.05,8211.05,1703721600
16,1,Mutual Funds,2656.06,9603.17,1727564400
17,1,Mutual Funds,7417.62,5272.4,1675728000
18,1,Mutual Funds,8391.59,17094.58,1677801600
19,1,Mutual Funds,1790.19,18048.88,1705449600
20,1,Stocks,6003.33,17872.82,1692054000
21,1,Stocks,5784.19,5175.82,1706227200
22,1,Mutual Funds,1110.36,6058.32,1713740400
23,1,ETFs,9017.56,11708.96,1691017200
24,1,Mutual Funds,5127.68,8740.68,1710806400
25,1,Mutual Funds,6794.55,19553.01,1681599600
26,1,Mutual Funds,9919.75,9245.09,1691881200
27,1,Stocks,6221.39,12063.79,1699574400
28,1,ETFs,8844.89,12984.01,1706227200
29,1,Stocks,1397.19,6047.5,1728514800
30,1,Stocks,2809.86,15929.55,1695596400
31,1,Stocks,3969.45,12901.02,1654124400
32,1,ETFs,3948.26,13319.86,1666998000
33,1,ETFs,6576.71,12946.11,1697065200
34,1,Mutual Funds,1958.01,16484.75,1663801200
35,1,Stocks,3518.0,6511.62,1700092800
36,1,ETFs,5605.95,9258.37,1726527600
37,1,Mutual Funds,6694.07,11787.9,1709251200
38,1,Stocks,3236.08,7172.01,1657494000
39,1,Mutual Funds,5926.13,9434.84,1678320000
40,1,Stocks,8979.73,18853.68,1680130800
41,1,ETFs,5291.34,18434.41,1720220400
42,1,ETFs,6234.46,12167.94,1661554800
43,1,Stocks,3915.56,10004.44,1661382000
44,1,Mutual Funds,3352.56,19349.48,1678406400
45,1,ETFs,8964.95,14435.93,1729810800
46,1,Stocks,5945.28,14994.55,1691708400
47,1,ETFs,5265.01,9296.02,1644192000
48,1,Stocks,7617.89,7609.79,1703808000
49,1,Mutual Funds,1321.66,7517.05,1655334000
50,1,Mutual Funds,1078.06,13318.31,1671926400
