id,currency_id,exchange_rate,date
1,3,0.8383,1665183600
1,5,1.4926,1717282800
1,4,0.902,1673913600
1,5,1.45,1704240000
1,2,0.7827,1656802800
1,2,1.4209,1707436800
1,3,0.7527,1719615600
1,2,0.6165,1685228400
1,1,1.2161,1662159600
1,1,0.9931,1680994800
1,2,1.3016,1728601200
1,1,0.7978,1661468400
1,5,0.5471,1677715200
1,3,0.9882,1724022000
1,5,1.3067,1705968000
1,5,0.8591,1717887600
1,1,0.6139,1691535600
1,1,0.8613,1678147200
1,1,1.1248,1676505600
1,3,0.8022,1681772400
1,2,1.3974,1725318000
1,2,1.0219,1723244400
1,1,0.5814,1653519600
1,1,1.0019,1681686000
1,5,0.6443,1718146800
1,4,0.6166,1681513200
1,2,1.1276,1667952000
1,2,1.4103,1647993600
1,1,0.6479,1663887600
1,1,0.9572,1729378800
1,1,0.5205,1683327600
1,4,1.4363,1643587200
1,4,0.5196,1661382000
1,4,0.8932,1663801200
1,2,0.7003,1672358400
1,2,1.0155,1718924400
1,5,1.3207,1686265200
1,1,1.0652,1672617600
1,4,0.7347,1719615600
1,5,0.7786,1657321200
1,2,1.4161,1691967600
1,2,0.6144,1688252400
1,5,1.071,1642118400
1,3,1.4032,1669161600
1,3,1.135,1702166400
1,3,1.0502,1665442800
1,1,1.2691,1668556800
1,1,0.523,1673913600
1,4,1.0972,1674518400
1,4,1.4813,1649890800
1,5,1.3254,1700611200
1,3,0.8148,1724886000
1,4,0.836,1696201200
1,3,0.95,1712012400
1,1,1.1817,1675987200
1,3,0.9946,1729551600
1,2,1.2609,1702598400
1,4,0.7298,1694041200
1,5,0.8093,1713481200
1,5,0.6928,1705363200
1,4,0.7394,1661468400
1,5,0.7582,1665874800
1,4,1.431,1647648000
1,3,0.5321,1679011200
1,3,1.0135,1679616000
1,5,1.1007,1681945200
1,2,0.5518,1724886000
1,4,1.3401,1682809200
1,2,0.8978,1667174400
1,4,1.322,1692140400
1,5,1.3921,1659567600
1,1,0.754,1676332800
1,5,1.4976,1704067200
1,3,1.1629,1663542000
1,4,1.0235,1695423600
1,3,1.2838,1659135600
1,5,1.3212,1651705200
1,1,0.9222,1711756800
1,4,1.4381,1673222400
1,5,0.7995,1656630000
1,4,0.6622,1691362800
1,4,0.678,1672099200
1,3,0.8691,1716246000
1,4,0.7977,1663455600
1,1,1.187,1694991600
1,1,1.4164,1669075200
1,2,0.9831,1701734400
1,2,1.0422,1707091200
1,2,0.7882,1708387200
1,2,1.1649,1667952000
1,5,0.7536,1686092400
1,1,1.1275,1697583600
1,5,1.03,1656457200
1,1,1.4608,1689634800
1,1,1.2727,1650668400
1,1,0.6054,1647129600
1,2,0.8415,1702425600
1,2,1.3291,1700524800
1,1,1.2213,1677715200
1,2,1.3366,1696374000
